type, food, recipe, meal
burger,juicy lucy burgers,"1 1/2 pounds ground beef,1 tablespoon Worcestershire sauce,3/4 teaspoon garlic salt,1 teaspoon black pepper,4 slices American cheese (such as Kraft®),4 hamburger buns, split",dinner
burger,yummy lemon salmon burgers,"For Burger:,1 (16 ounce) can salmon, drained and flaked,2 eggs,1/4 cup chopped fresh parsley,2 tablespoons finely chopped onion,1/4 cup Italian seasoned dry bread crumbs,2 tablespoons lemon juice,1/2 teaspoon dried basil,1 pinch red pepper flakes,1 tablespoon vegetable oil,For Dressing:,2 tablespoons light mayonnaise,1 tablespoon lemon juice,1 pinch dried basil",dinner
burger,spicy burgers,"2 pounds ground beef,2 teaspoons minced garlic,2 fresh jalapeno peppers, seeded and minced,1 small fresh poblano chile pepper, seeded and minced,1 fresh habanero pepper, seeded and minced (optional),1 teaspoon crushed red pepper flakes,2 tablespoons chopped fresh cilantro,1 teaspoon ground cumin",dinner
steak,blackened tuna steaks with mango salsa,"2 tablespoons olive oil,2 tablespoons lime juice,2 cloves garlic, minced,4 tuna steaks,1 fresh mango - peeled, pitted, and chopped,1/4 cup finely chopped red bell pepper,1/2 Spanish onion, finely chopped,1 green onion, chopped,2 tablespoons chopped fresh cilantro,1 jalapeno pepper, seeded and minced,2 tablespoons lime juice,1 1/2 teaspoons olive oil,2 tablespoons paprika,1 tablespoon cayenne pepper,1 tablespoon onion powder,2 teaspoons salt,1 teaspoon ground black pepper,1 teaspoon dried thyme,1 teaspoon dried basil,1 teaspoon dried oregano,1 tablespoon garlic powder,4 tablespoons olive oil",dinner
steak,marsala marinated skirt steak,"2/3 cup Marsala wine,1/4 cup ketchup,6 cloves garlic, minced,2 teaspoons kosher salt,1 teaspoon dried rosemary,1 teaspoon ground black pepper,1 (1 1/2-pound) skirt steak, cut in half across the grain",dinner
steak,marinated flank steak,"1/2 cup vegetable oil,1/3 cup soy sauce,1/4 cup red wine vinegar,2 tablespoons fresh lemon juice,1 1/2 tablespoons Worcestershire sauce,1 tablespoon Dijon mustard,2 cloves garlic, minced,1/2 teaspoon ground black pepper,1 1/2 pounds flank steak",dinner
steak,seared ahi tuna steaks,"2 (5 ounce) ahi tuna steaks,1 teaspoon kosher salt,1/4 teaspoon cayenne pepper,1/2 tablespoon butter,2 tablespoons olive oil,1 teaspoon whole peppercorns",dinner
steak,grilled coffee and cola skirt steak,"2 large cloves garlic, minced,1 (12 fluid ounce) can or bottle cola-flavored carbonated beverage,1/2 cup freshly brewed strong coffee,1/4 cup rice vinegar,2 tablespoons ketchup,1 1/2 teaspoons freshly ground black pepper,1 teaspoon salt,1 teaspoon crushed dried rosemary,1/4 teaspoon Louisiana-style hot sauce, or to taste,1 (1 1/4 pound) beef skirt steak - trimmed of large fat chunks,salt to taste,1 pinch cayenne pepper, or to taste",dinner
steak,teriyaki flank steak,"1/2 cup wine,1/2 cup soy sauce,1/4 cup olive oil,1/4 cup brown sugar,1/4 cup grated fresh ginger root,2 cloves garlic, crushed,1 teaspoon ground black pepper,1 1/2 pounds beef flank steak",dinner
steak,swiss steak,"1/4 cup all-purpose flour,1/2 teaspoon salt,1/4 teaspoon ground black pepper,1 (2 pound) beef round steak, 1 inch thick,2 tablespoons vegetable shortening,1/4 cup water, or as needed,1 (8 ounce) can diced tomatoes,1 onion, minced,1/2 green bell pepper, chopped,salt and ground black pepper to taste",dinner
